,Unnamed: 0,al.mode,al.op,al.op.rate,al.op.tsp,al.pv,al.pv.rate,al.pv.tsp,as.mode,as.op,as.op.rate,as.op.tsp,as.pv,as.pv.rate,as.pv.tsp,ascracker.mode,ascracker.op,ascracker.op.rate,ascracker.op.tsp,ascracker.pv,ascracker.pv.rate,ascracker.pv.tsp,ascracker.valve.op,ga.mode,ga.op,ga.op.rate,ga.op.tsp,ga.pv,ga.pv.rate,ga.pv.tsp,in.mode,in.op,in.op.rate,in.op.tsp,in.pv,in.pv.rate,in.pv.tsp,manip.mode,manip.op,manip.op.rate,manip.pv,manip.pv.rate,manip.pv.tsp,manip.rs.rpm,mbe.p,pyrometer.t,sb.mode,sb.op,sb.op.rate,sb.op.tsp,sb.pv,sb.pv.rate,sb.pv.tsp,sbcond.mode,sbcond.op,sbcond.op.rate,sbcond.op.tsp,sbcond.pv,sbcond.pv.rate,sbcond.pv.tsp,sbcracker.mode,sbcracker.op,sbcracker.op.rate,sbcracker.op.tsp,sbcracker.pv,sbcracker.pv.rate,sbcracker.pv.tsp,shutter.al,shutter.as,shutter.ga,shutter.in,shutter.pyrometer,shutter.sb,shutter.suko,shutter.susi,suko.mode,suko.op,suko.op.rate,suko.op.tsp,suko.pv,suko.pv.rate,suko.pv.tsp,susi.mode,susi.op,susi.op.rate,susi.op.tsp,susi.pv,susi.pv.rate,susi.pv.tsp,this.recipesrunning,time,TimeInMin,time_in_min
32,32,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,33,0.55,0.55
33,33,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,34,0.566666667,0.566666667
34,34,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,35,0.583333333,0.583333333
35,35,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,36,0.6,0.6
36,36,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,37,0.616666667,0.616666667
37,37,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,38,0.633333333,0.633333333
38,38,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,39,0.65,0.65
39,39,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,40,0.666666667,0.666666667
40,40,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,41,0.683333333,0.683333333
41,41,pid,0,0,0,750,0,750,pid,0,0,0,374,0,374,pid,0,0,0,600,2,600,40.83927501,pid,0,0,0,550,0,550,pid,0,0,0,515,0,515,pid,0,0,200,0,200,7,1.00E-07,0,pid,0,0,0,250,0,250,pid,0,0,0,800,10,800,pid,0,0,0,800,10,800,closed,open,closed,closed,closed,closed,closed,closed,manual,10,0.5,10,0,0,0,manual,10,0.5,10,0,0,0,1,42,0.7,0.7
